Game: Niemann,Hans Moke (2637) vs Johansson,CF (2221)
20, d4c5, d4c5 : False
21, d6c5, d6c5 : False
22, d1d8, d1d8 : False
23, a8d8, e7d8 : False
24, b1d2, f3d2 : False
25, e8g8, h7h6 : False
26, h2h3, h2h3 : False
27, g4d7, g4e6 : False
28, d2c4, d2c4 : False
29, d7c6, d7c6 : False
30, c1g5, c1g5 : False
31, h7h6, f6e4 : False
32, g5f6, g5f6 : False
33, e7f6, e7f6 : False
34, c4a5, c4a5 : False
35, g6e7, d8d6 : False
36, b2b4, a5b3 : False
37, c5b4, c5b4 : True
38, c3b4, c3b4 : True
39, b7b5, b7b5 : False
40, a1c1, a1b1 : False
41, d8c8, d8c8 : False
42, c1c5, c1c5 : False
43, c6e8, b5a4 : False
44, a4b5, a4b5 : False
45, c8c5, e8b5 : False
46, b4c5, b4c5 : True
47, e8b5, e8b5 : False
48, f1b5, f1b5 : False
49, a6b5, a6b5 : True
50, e1b1, e1b1 : True
51, f8b8, f8b8 : False
52, g1f1, g2g3 : False
53, b5b4, e7g6 : False
54, f1e2, f3d2 : False
55, b8a8, b8a8 : False
56, b1a1, a5b3 : False
57, e7c6, e7c6 : False
58, a5b3, a5b3 : True
59, a8a3, a8a3 : True
60, a1a3, a1a3 : False
61, b4a3, b4a3 : True
62, f3e1, e2d2 : False
63, a3a2, c6d4 : False
64, e1c2, e1c2 : False
65, f6d8, c6d4 : False
66, e2d3, e2d3 : False
67, g8f8, f7f5 : False
68, d3c4, d3c3 : False
69, f8e8, c6d4 : False
70, b3c1, b3c1 : False
71, c6d4, c6d4 : False
72, c2a1, c2a1 : False
73, e8d7, d4e6 : False
74, c1a2, c1a2 : True
75, d8a5, d4e6 : False
76, a1b3, a1b3 : False
77, d4b3, d4b3 : True
78, c4b3, c4b3 : True
79, g7g6, a5e1 : False
80, a2b4, a2b4 : False
81, h6h5, h6h5 : False
82, b3c4, b3a4 : False
83, f7f5, h5h4 : False
84, f2f3, f2f3 : False
85, h5h4, a5d8 : False
86, b4d3, b4d3 : False
87, d7e6, d7e6 : False
88, c4b5, c4b5 : False
89, a5d8, a5c7 : False
90, b5c6, b5c6 : False
91, f5f4, e6e7 : False
92, c6b7, c6b7 : False
93, g6g5, d8a5 : False
94, d3b2, d3b2 : False
Game: Sukandar,I (2386) vs Niemann,Hans Moke (2637)
20, e4g3, e4g5 : False
21, d8d5, d8d5 : False
22, b2b4, b2b4 : True
23, d5g2, a7a5 : False
24, d1d2, h1g1 : False
25, g2d5, g2d5 : False
26, c5a7, e1g1 : False
27, b8a8, b8a8 : False
28, a7c5, a7c5 : False
29, e7e5, g8f6 : False
30, c2c4, f2f4 : False
31, d5c6, d5f3 : False
32, f2f4, f2f4 : False
33, g7h6, h7h5 : False
34, h1f1, d2b2 : False
35, g8f6, g8f6 : False
36, d2b2, d2b2 : False
37, a8b8, f6d7 : True
38, c5a7, c5a7 : False
39, b8b7, b8b7 : False
40, f4e5, f4e5 : False
41, f6g4, b7a7 : True
42, a7d4, a7d4 : False
43, g4h2, e8g8 : False
44, b4b5, b4b5 : False
45, c6g2, c6c7 : False
46, f1f2, f1f2 : True
47, g2h3, g2h3 : False
48, c4c5, b2a3 : False
49, h2g4, h2g4 : False
50, c5c6, c5c6 : False
51, b7e7, g4f2 : False
52, b5b6, b5b6 : False
53, e8g8, g4f2 : False
54, b2b3, b2b3 : False
55, c8e6, c8e6 : False
56, b3b4, b3b5 : False
57, e7e8, e7e8 : False
58, b6b7, c6c7 : False
59, h3h4, f5f4 : False
60, c6c7, a1b1 : False
61, g4f2, g4f2 : False
62, e1f2, a1d1 : False
63, f5f4, f5f4 : True
64, a1g1, a1g1 : False
65, f4g3, f4g3 : False
66, f2e1, f2e1 : False
67, g3g2, g3g2 : True
68, e1d1, e1d1 : True
69, h4g4, f8f1 : False
70, b7b8q, g1e1 : False
71, f8f1, f8f1 : False
72, b4e1, g1f1 : False
73, g4e2, g4e2 : False
Game: Niemann,Hans Moke (2637) vs Beerdsen,Thomas (2496)
20, c3d4, c3d4 : True
21, c5d4, c5d4 : False
22, f3d4, f3d4 : False
23, d6d5, d6d5 : False
24, e4d5, e4d5 : False
25, d7b6, f6d5 : False
26, b1c3, b1c3 : False
27, b6d5, b6d5 : True
28, d1b3, d1b3 : False
29, e7c5, h7h6 : False
30, e1e8, e1e8 : False
31, d8e8, d8e8 : False
32, c3d5, c3d5 : False
33, c5d4, c5d4 : True
34, d5f6, c1e3 : False
35, d4f6, d4f6 : True
36, c1e3, c1e3 : False
37, c8d7, e8e7 : False
38, b3b7, b3b7 : True
39, d7c6, d7c6 : False
40, b7b4, b7b4 : False
41, a8b8, a6a5 : False
42, e3b6, e3b6 : False
43, a6a5, c6a4 : False
44, b4a5, b4a5 : True
45, e8e4, f6b2 : False
46, a1c1, a1c1 : False
47, f6b2, e4a4 : False
48, c1c4, c1c4 : True
49, e4e6, e4e6 : False
50, a5c5, a5c5 : False
51, c6d5, c6b7 : False
52, c4c2, c4c2 : False
53, b2e5, b2e5 : False
54, a4a5, a4a5 : False
55, e6f5, d5e4 : False
56, b6c7, b6c7 : False
57, b8c8, e5c7 : False
58, c5d5, c5d5 : True
Game: Jarmula,L (2434) vs Niemann,Hans Moke (2637)
20, b3c2, b3c2 : False
21, d5d4, d5d4 : True
22, d2b3, d2e4 : False
23, d4d3, d4d3 : False
24, b3c5, b3c5 : False
25, d3c2, d3c2 : True
26, d1d8, d1d8 : False
27, a8d8, a8d8 : False
28, c5e6, c5e6 : False
29, f7e6, f7e6 : True
30, c1e3, c1e3 : True
31, d8d5, d8d5 : False
32, f1c1, f1c1 : False
33, c6e5, c6e5 : False
34, f3e5, f3e5 : True
35, d5e5, d5e5 : False
36, c1c2, c1c2 : False
37, e8f7, e8g8 : False
38, c3c4, c3c4 : False
39, e7d6, b5b4 : False
40, g2g3, a1c1 : False
41, h8b8, h8b8 : False
42, b2b3, b2b3 : False
