Adams,Mi	2747	2017.05.12	C89	Moscow Grand Prix 2017		2017.05.12		tourn	52	1/2-1/2	1.1	Moscow RUS		Vachier Lagrave,M	2795		twic1175.pgn	C89
Nakamura,Hi	2786	2017.05.12	D37	Moscow Grand Prix 2017		2017.05.12		tourn	50	1/2-1/2	1.2	Moscow RUS		Inarkiev,E	2727		twic1175.pgn	D37
Gelfand,B	2724	2017.05.12	B35	Moscow Grand Prix 2017		2017.05.12		tourn	66	1/2-1/2	1.3	Moscow RUS		Giri,A	2785		twic1175.pgn	B35
Ding Liren	2773	2017.05.12	D11	Moscow Grand Prix 2017		2017.05.12		tourn	88	1/2-1/2	1.4	Moscow RUS		Radjabov,T	2710		twic1175.pgn	D11
Vallejo Pons,F	2710	2017.05.12	D31	Moscow Grand Prix 2017		2017.05.12		tourn	58	1/2-1/2	1.5	Moscow RUS		Mamedyarov,S	2772		twic1175.pgn	D31
Svidler,P	2755	2017.05.12	D90	Moscow Grand Prix 2017		2017.05.12		tourn	48	1/2-1/2	1.6	Moscow RUS		Tomashevsky,E	2696		twic1175.pgn	D90
Hou Yifan	2652	2017.05.12	D35	Moscow Grand Prix 2017		2017.05.12		tourn	119	0-1	1.7	Moscow RUS		Nepomniachtchi,I	2751		twic1175.pgn	D35
Grischuk,A	2750	2017.05.12	E60	Moscow Grand Prix 2017		2017.05.12		tourn	20	1/2-1/2	1.8	Moscow RUS		Salem,AR	2633		twic1175.pgn	E60
Hammer,J	2621	2017.05.12	E48	Moscow Grand Prix 2017		2017.05.12		tourn	183	1/2-1/2	1.9	Moscow RUS		Harikrishna,P	2750		twic1175.pgn	E48
Vachier Lagrave,M	2795	2017.05.13	A04	Moscow Grand Prix 2017		2017.05.12		tourn	49	1/2-1/2	2.1	Moscow RUS		Hou Yifan	2652		twic1175.pgn	A30
Radjabov,T	2710	2017.05.13	D30	Moscow Grand Prix 2017		2017.05.12		tourn	35	1/2-1/2	2.2	Moscow RUS		Nakamura,Hi	2786		twic1175.pgn	D30
Giri,A	2785	2017.05.13	B31	Moscow Grand Prix 2017		2017.05.12		tourn	57	1/2-1/2	2.3	Moscow RUS		Adams,Mi	2747		twic1175.pgn	B31
Inarkiev,E	2727	2017.05.13	A20	Moscow Grand Prix 2017		2017.05.12		tourn	172	1-0	2.4	Moscow RUS		Ding Liren	2773		twic1175.pgn	A20
Mamedyarov,S	2772	2017.05.13	D02	Moscow Grand Prix 2017		2017.05.12		tourn	42	1/2-1/2	2.5	Moscow RUS		Gelfand,B	2724		twic1175.pgn	D02
Salem,AR	2633	2017.05.13	A20	Moscow Grand Prix 2017		2017.05.12		tourn	30	1/2-1/2	2.6	Moscow RUS		Svidler,P	2755		twic1175.pgn	A20
Tomashevsky,E	2696	2017.05.13	C77	Moscow Grand Prix 2017		2017.05.12		tourn	22	1/2-1/2	2.7	Moscow RUS		Grischuk,A	2750		twic1175.pgn	C77
Harikrishna,P	2750	2017.05.13	E06	Moscow Grand Prix 2017		2017.05.12		tourn	162	1/2-1/2	2.8	Moscow RUS		Vallejo Pons,F	2710		twic1175.pgn	E06
Nepomniachtchi,I	2751	2017.05.13	B07	Moscow Grand Prix 2017		2017.05.12		tourn	85	0-1	2.9	Moscow RUS		Hammer,J	2621		twic1175.pgn	B07
Ding Liren	2773	2017.05.14	C50	Moscow Grand Prix 2017		2017.05.12		tourn	101	0-1	3.1	Moscow RUS		Hou Yifan	2652		twic1175.pgn	C50
Gelfand,B	2724	2017.05.14	B35	Moscow Grand Prix 2017		2017.05.12		tourn	85	1/2-1/2	3.2	Moscow RUS		Vachier Lagrave,M	2795		twic1175.pgn	B35
Nakamura,Hi	2786	2017.05.14	E53	Moscow Grand Prix 2017		2017.05.12		tourn	40	1/2-1/2	3.3	Moscow RUS		Tomashevsky,E	2696		twic1175.pgn	E53
Vallejo Pons,F	2710	2017.05.14	D45	Moscow Grand Prix 2017		2017.05.12		tourn	75	1/2-1/2	3.4	Moscow RUS		Giri,A	2785		twic1175.pgn	D45
Adams,Mi	2747	2017.05.14	E21	Moscow Grand Prix 2017		2017.05.12		tourn	58	1-0	3.5	Moscow RUS		Mamedyarov,S	2772		twic1175.pgn	E12
Svidler,P	2755	2017.05.14	D85	Moscow Grand Prix 2017		2017.05.12		tourn	79	0-1	3.6	Moscow RUS		Harikrishna,P	2750		twic1175.pgn	D85
Salem,AR	2633	2017.05.14	A07	Moscow Grand Prix 2017		2017.05.12		tourn	109	0-1	3.7	Moscow RUS		Nepomniachtchi,I	2751		twic1175.pgn	A07
Grischuk,A	2750	2017.05.14	B97	Moscow Grand Prix 2017		2017.05.12		tourn	56	1/2-1/2	3.8	Moscow RUS		Radjabov,T	2710		twic1175.pgn	B97
Hammer,J	2621	2017.05.14	B12	Moscow Grand Prix 2017		2017.05.12		tourn	95	0-1	3.9	Moscow RUS		Inarkiev,E	2727		twic1175.pgn	B12
Svidler,P	2755	2017.05.15	A36	Moscow Grand Prix 2017		2017.05.12		tourn	65	1/2-1/2	4.1	Moscow RUS		Ding Liren	2773		twic1175.pgn	A36
Mamedyarov,S	2772	2017.05.15	E60	Moscow Grand Prix 2017		2017.05.12		tourn	141	0-1	4.2	Moscow RUS		Salem,AR	2633		twic1175.pgn	E60
Vachier Lagrave,M	2795	2017.05.15	B90	Moscow Grand Prix 2017		2017.05.12		tourn	131	1/2-1/2	4.3	Moscow RUS		Grischuk,A	2750		twic1175.pgn	B90
Hou Yifan	2652	2017.05.15	A08	Moscow Grand Prix 2017		2017.05.12		tourn	99	1/2-1/2	4.4	Moscow RUS		Nakamura,Hi	2786		twic1175.pgn	A08
Giri,A	2785	2017.05.15	A20	Moscow Grand Prix 2017		2017.05.12		tourn	156	1/2-1/2	4.5	Moscow RUS		Hammer,J	2621		twic1175.pgn	A20
Tomashevsky,E	2696	2017.05.15	E00	Moscow Grand Prix 2017		2017.05.12		tourn	70	1/2-1/2	4.6	Moscow RUS		Gelfand,B	2724		twic1175.pgn	E00
Radjabov,T	2710	2017.05.15	B31	Moscow Grand Prix 2017		2017.05.12		tourn	89	0-1	4.7	Moscow RUS		Vallejo Pons,F	2710		twic1175.pgn	B31
Nepomniachtchi,I	2751	2017.05.15	B91	Moscow Grand Prix 2017		2017.05.12		tourn	97	0-1	4.8	Moscow RUS		Adams,Mi	2747		twic1175.pgn	B91
Harikrishna,P	2750	2017.05.15	A62	Moscow Grand Prix 2017		2017.05.12		tourn	93	1/2-1/2	4.9	Moscow RUS		Inarkiev,E	2727		twic1175.pgn	A62
Artemiev,V	2682	2017.05.10	B42	TCh-RUS Men 2017		2017.05.01			64	1-0	7.1	Sochi RUS		Najer,E	2682	Legacy Square Capital Moscow	twic1175.pgn	B42
Dubov,Daniil	2660	2017.05.10	A04	TCh-RUS Men 2017		2017.05.01			60	1-0	7.1	Sochi RUS		Kamsky,G	2676	Rook Republic of Tatarstan	twic1175.pgn	A04
Timofeev,Arty	2555	2017.05.10	B36	TCh-RUS Men 2017		2017.05.01			128	1/2-1/2	7.1	Sochi RUS		Grachev,B	2658	Legacy Square Capital Moscow	twic1175.pgn	B36
Popov,Iv RUS	2618	2017.05.10	D02	TCh-RUS Men 2017		2017.05.01			79	1/2-1/2	7.1	Sochi RUS		Hasangatin,R	2509	Rook Republic of Tatarstan	twic1175.pgn	D02
Faizrakhmanov,Ramil	2439	2017.05.10	B12	TCh-RUS Men 2017		2017.05.01			90	1-0	7.1	Sochi RUS		Oparin,G	2604	Legacy Square Capital Moscow	twic1175.pgn	B12
Vavulin,M	2599	2017.05.10	A10	TCh-RUS Men 2017		2017.05.01			99	0-1	7.1	Sochi RUS		Makhmutov,R	2437	Rook Republic of Tatarstan	twic1175.pgn	A10
Vitiugov,N	2731	2017.05.10	E47	TCh-RUS Men 2017		2017.05.01			80	1/2-1/2	7.2	Sochi RUS		Predke,A	2566	Zhiguli Samara	twic1175.pgn	E47
Geller,J	2505	2017.05.10	A04	TCh-RUS Men 2017		2017.05.01			100	1-0	7.2	Sochi RUS		Matlakov,M	2714	The Bronze Horseman St Petersburg	twic1175.pgn	A04
Rodshtein,M	2698	2017.05.10	B13	TCh-RUS Men 2017		2017.05.01			76	1-0	7.2	Sochi RUS		Elistratov,Semen	2417	Zhiguli Samara	twic1175.pgn	B13
Palachev,P	2382	2017.05.10	D38	TCh-RUS Men 2017		2017.05.01			68	1-0	7.2	Sochi RUS		Fedoseev,Vl3	2690	The Bronze Horseman St Petersburg	twic1175.pgn	D38
Khairullin,I	2624	2017.05.10	A80	TCh-RUS Men 2017		2017.05.01			91	1/2-1/2	7.2	Sochi RUS		Natacheev,P	2296	Zhiguli Samara	twic1175.pgn	A80
Slavin,A	2367	2017.05.10	E11	TCh-RUS Men 2017		2017.05.01			126	1-0	7.2	Sochi RUS		Goganov,A	2592	The Bronze Horseman St Petersburg	twic1175.pgn	E11
Shirov,A	2664	2017.05.10	C50	TCh-RUS Men 2017		2017.05.01			82	1/2-1/2	7.3	Sochi RUS		Alekseev,Evgeny	2610	SDYUSSHOR SHSH St Petersburg	twic1175.pgn	C50
Alekseenko,K	2585	2017.05.10	D18	TCh-RUS Men 2017		2017.05.01			79	0-1	7.3	Sochi RUS		Riazantsev,A	2659	Yekaterinburg Malachite	twic1175.pgn	D18
Rublevsky,S	2682	2017.05.10	D45	TCh-RUS Men 2017		2017.05.01			141	1/2-1/2	7.3	Sochi RUS		Popov,Val	2528	SDYUSSHOR SHSH St Petersburg	twic1175.pgn	D45
Usmanov,V	2443	2017.05.10	B01	TCh-RUS Men 2017		2017.05.01			55	1-0	7.3	Sochi RUS		Motylev,A	2665	Yekaterinburg Malachite	twic1175.pgn	B01
Kovalenko,I	2657	2017.05.10	C88	TCh-RUS Men 2017		2017.05.01			115	1/2-1/2	7.3	Sochi RUS		Saveliev,Alexei	2369	SDYUSSHOR SHSH St Petersburg	twic1175.pgn	C88
Palchun,G	2354	2017.05.10	E11	TCh-RUS Men 2017		2017.05.01			95	1/2-1/2	7.3	Sochi RUS		Lysyj,I	2643	Yekaterinburg Malachite	twic1175.pgn	E11
Kramnik,V	2811	2017.05.10	A07	TCh-RUS Men 2017		2017.05.01			75	0-1	7.4	Sochi RUS		Rozum,I	2606	Chess Federation of the Central Federal District	twic1175.pgn	A07
Shomoev,A	2550	2017.05.10	D05	TCh-RUS Men 2017		2017.05.01			100	1-0	7.4	Sochi RUS		Mamedyarov,S	2772	Sirius-Siberia Novosibirsk	twic1175.pgn	D05
Giri,A	2785	2017.05.10	E90	TCh-RUS Men 2017		2017.05.01			93	0-1	7.4	Sochi RUS		Esipenko,Andrey	2509	Chess Federation of the Central Federal District	twic1175.pgn	E90
